pressureTimestamp,pressure
92464980,-222.242
92488980,-231.914
92512980,-173.898
92536980,-202.906
92566980,-212.57
92591144,-222.242
92614980,-222.242
92638980,-231.914
92662980,-154.562
92662980,-154.562
92693100,-164.234
92717076,-154.562
92741236,-173.898
92765072,-164.234
92789072,-164.234
92818980,-231.914
92842984,-222.242
92866980,-222.242
92891148,-222.242
92914984,-222.242
92944984,-222.242
92968984,-231.914
92992984,-222.242
93016984,-231.914
93046988,-231.914
93071148,-222.242
93094984,-164.234
93118984,-164.234
93142984,-164.234
93142984,-164.234
93173076,-154.562
93197076,-154.562
93221236,-164.234
93245076,-154.562
93269076,-154.562
93298984,-154.562
93322984,-164.234
93346992,-164.234
93371152,-154.562
93394988,-154.562
93424988,-154.562
93448984,-164.234
93472984,-164.234
93496984,-222.242
93526988,-222.242
93551140,-231.914
93574988,-222.242
93598988,-222.242
93622988,-231.914
93622988,-231.914
93653080,-222.242
93706988,-202.906
93731152,-231.914
93755224,-222.242
93784992,-241.586
93808988,-222.242
93832988,-222.242
93856988,-212.57
93886988,-222.242
93911152,-231.914
93934988,-202.906
93958988,-222.242
93982992,-222.242
93982992,-222.242
94013080,-212.57
94037080,-212.57
94061232,-164.234
94085112,-164.234
94109080,-164.234
94138988,-173.898
94162992,-164.234
94186988,-173.898
94211156,-154.562
94234992,-164.234
94264992,-154.562
94288992,-164.234
94312992,-154.562
94336992,-154.562
94366992,-154.562
94391180,-154.562
94414992,-154.562
94438996,-173.898
94462992,-154.562
94462992,-154.562
94493084,-164.234
94517084,-164.234
94541244,-164.234
94565084,-154.562
94589084,-164.234
94618992,-231.914
94666992,-193.227
94691160,-193.227
94714996,-231.914
94744996,-231.914
94768996,-212.57
94792996,-193.227
94816992,-212.57
94846996,-212.57
94871160,-222.242
94894996,-144.891
94918996,-164.234
94942996,-164.234
94942996,-164.234
94973088,-154.562
94997088,-164.234
95021248,-164.234
95045088,-164.234
95069088,-154.562
95099000,-173.898
95122996,-164.234
95146996,-164.234
95171160,-164.234
95194996,-154.562
95224996,-173.898
95248996,-164.234
95272996,-154.562
95296996,-154.562
95327000,-154.562
95351160,-164.234
95374996,-164.234
95399000,-154.562
95423000,-173.898
95423000,-173.898
95453116,-154.562
95477112,-164.234
95501240,-173.898
95525092,-164.234
95549092,-154.562
95579000,-164.234
95603000,-164.234
95627000,-154.562
95651160,-154.562
95675000,-154.562
95705000,-154.562
95729000,-164.234
95753000,-154.562
95777000,-164.234
95807004,-154.562
95831168,-144.891
95855000,-144.891
95879000,-173.898
